=== Amiko Legends Tournament (160 signups) ===
#,tx_hash,wallet,checkin_time_utc,block
1,0x595d469cc151229c3f7007eda07dcbdbcc0e1ee8511e447276dee2428b7b79b6,0x35Eb106c1f781FeE54bD8461d52DAC80a98EB2A8,2026-04-22 06:53:12 UTC,455078597
2,0x0c8d5cda2358d53ea4c9b39d0c4ed6fcdea3c06102dd3be8c8e2995f432f0fb0,0xB7eA94F09f680eb246d3cfcF47D9b4b8acdf23bE,2026-04-22 12:35:07 UTC,455160739
3,0x4d89ebc489aefb982312e6b3a8b77273b465296a7f4e2f05b5b50b8feda9db42,0x7c5B15E5e361E7B91D2648256aC50BC561979F3c,2026-04-22 12:40:10 UTC,455161955
4,0x1638c49266be4bb06db1008a475d71a32ca5965d2dab323ce67cbe5a92c075dc,0xE9Ef9234fa9d0585E5f153420386c92653E2fc65,2026-04-22 12:40:18 UTC,455161985
5,0xfbbd48896097edf3f21a7d70754010a490ca720ac91fa998036b64fe89c0ab02,0x69808E08Cc361e98AA085E14a9fA64C9f91EE19f,2026-04-22 12:40:23 UTC,455162006
6,0x92e8f2738f1807a2404f7eab7a19458714a5ce38c6c85b6e7dc854fedfdd0617,0x6ca40A6b8798F3f021F745ABE20E218Ea67153fd,2026-04-22 12:40:30 UTC,455162036
7,0x1fd2b0e67d4eac0eb08a4021aa60492289d3bbe01b9daf2fb6c4afc497988fbf,0x823ba1402Fb6fA3BCA06BA5aCF16A2Fcc98E4F88,2026-04-22 12:49:30 UTC,455164193
8,0x66adf0f78066dd74d69deebbc0da33915fba53e0d4cc03a20fcd39e418e07a1a,0xA322F2977eF7B03F23f3cbA4d7F543C6b059783A,2026-04-22 12:50:11 UTC,455164357
9,0xe803c4811775f92021681790514969ac70b3b7fac0165ec290ac6aa0d6a455d8,0xc5220AAeea2eAf0d79C3EA9413166f0Ad6F6e1c5,2026-04-22 12:50:27 UTC,455164421
10,0x46df85f8f0f3b64ff3271e58a8b3b23f1377173fd77aa33f9b96628f129c83eb,0xb0FE8447eFC120744AFd1D9BB2E4A01C8597ebC1,2026-04-22 12:50:29 UTC,455164428
11,0x0848ac211a819e69f721e7251170ddad104f906e9cf0514df39748a3758e6b40,0xDe87457C1F31c25379932934b04E8758f633af50,2026-04-22 12:50:50 UTC,455164515
12,0x4f5aa247da728e4fd18a655dc87f341d348542e18aeec23074479ee2a4a01dcf,0x2a5AE1B1b7965Fa5e5DD63B1A67E1c5fb4d37A15,2026-04-22 12:53:10 UTC,455165075
13,0xa3fa7c1092bab4871397cedfd6264beaa363fb661046a7924d6874cd6b09f3ce,0xAa0048DD8aE2458b23bBd98584A93494a99d96b3,2026-04-22 12:53:20 UTC,455165115
14,0x5e48c6054e7ce07f060948a39b1dffe6e96ff9af23be1dcd05544cbad3d193ad,0xb63FB31e3fC1FfCfb9077832E922617DE77f9E8c,2026-04-22 12:53:47 UTC,455165224
15,0xa255e560e836cdb2a416ad8809d926608bb0bbd2782397b558d1e9503b05b539,0x75f119589D1ed65EffE909EE910a8200F04797d3,2026-04-22 12:54:59 UTC,455165513
16,0x29608be09964592d980c8ade53310cf5446e8c9d1d5bc1e832337e19a1c22788,0xE77244CE0BEF9740f5c1900a51916f3f8D81a7C6,2026-04-22 12:55:12 UTC,455165564
17,0xa67647dd7641acd77dcf8168767beaf18fb291f4a58aa5b656d5e9c79239afbc,0x3Ab3c128193F829A85D76b6390D7148F7bA26051,2026-04-22 12:57:09 UTC,455166029
18,0x574854e1a62762b792dea26358016dcdf2766ecc3e5d70448d29983e9477c7cc,0x0A1E34A3956128B5677b3d30FABA621F525538d3,2026-04-22 12:57:34 UTC,455166130
19,0x14d9731131516a56d1819d016123b007943588accc3fafabc58b8be2261f0974,0xa54A434739C02e38eB6d8288dd6C5C8Bed69b125,2026-04-22 12:58:24 UTC,455166333
20,0x886a093d148bd66b9ffe5a87071e9b11554fc5e115065ba8198f37226344fb65,0xACEa2791ac6806Fa32183254be6b741181e8809e,2026-04-22 12:58:57 UTC,455166466
21,0xa802a8bfb3627707157afcdba4e9a8fe4f44e3c3809333607bf0def549dd88ce,0xaBBF01D95346368d2d85995B28880F9c4557d7b0,2026-04-22 12:59:52 UTC,455166685
22,0x3ff9647250e7f8fdbc6501f8719721066ee6708917a136db4225dadd9f3afded,0xa0016b9874941Dc1c40DE2571C3650e06064dB22,2026-04-22 13:00:20 UTC,455166797
23,0x152488f5ffcf4cabf7e96a0133a8e7939911cf9bb91dcc45c3973cd51db1444b,0xAebced0Be9bb1453a9a17b40D0B8b08B65356B5c,2026-04-22 13:02:52 UTC,455167402
24,0x1ae8d139c046117651b97bc86cf53b5539de320e0ae196616d71627b562f939f,0x33CAF14372cBe1f3FDBeC944670AE715ca5bC8f4,2026-04-22 13:08:13 UTC,455168692
25,0x8012452ac9d833dfae714a8ebfccfaac87a5e4d22bd848cb46fa7e67fbebb9a2,0x704Fb28e49F54C205a85CB1817392Ca382Ff8b67,2026-04-22 13:10:09 UTC,455169155
26,0xe2292ea4e5193f1e2c1017fae464cc1c99a216c8193c896f70ba12d4bd90385e,0x127417795C78CA6c2461EE6b0605bF0D9B1d123c,2026-04-22 13:19:54 UTC,455171507
27,0x8dbf33dcce4de9823f37f493e766008b078517c9473919c8920dc48b1a29c917,0xB6BD535EFa8F0bA1297640220988043673F67f25,2026-04-22 13:24:40 UTC,455172657
28,0x2268898171450967098357e550b6c562331d38e5b26fbf2ec9bb6e24fe09c651,0x84192154e7650aDe35db11Dc6c31B05c7169F48e,2026-04-22 13:25:23 UTC,455172828
29,0x145407ca1afccb9e583c3f229f9432fb5a1436ed7bb184814c725bf7fb623487,0xE820f59454f77f46C085ebFc0ce6ACD5bb7EF46B,2026-04-22 13:28:01 UTC,455173458
30,0xabc0935646532f8a603344f951d131272ab3b1c74737917a7065a1bffd965f96,0xFfAFF1ED3cFAAF03aE265a11187F2E0852459baB,2026-04-22 13:30:18 UTC,455174004
31,0x07d13a67ad715972e48fc01f11ecf0a77d95603ede5d3db8a8bfbfa37963a9e7,0x8b31A414aedDBB6863c35aF8436B6687673447Ff,2026-04-22 13:40:05 UTC,455176363
32,0x69d8f9bd895c23fd187f47caf9990eaaa044d5c7fa526afc8dd07ba9be915940,0x063022Ac6217d7cc6841055faac7d682457C8314,2026-04-22 13:56:36 UTC,455180345
33,0x2af2ae602aa261f738f9ab2eeeb9773b5c661f34429fff5a6381a9b2b680aa7a,0x4F5ef7A4C57FAF6017f003742A68ABE12b65b589,2026-04-22 14:05:22 UTC,455182452
34,0x7f406db1d2b4d48bb2953cf7582deb5719bedb21c93272e3f8816fb9addc21af,0xEc837F399F04381E19d0e278C1a6366161Bc9A08,2026-04-22 14:09:41 UTC,455183491
35,0x22672071b97c8fc30d72f95decf6a90a40569158f6d25dfc5437435ed73e4e0a,0x4FDA45483Ce1DB994f74ffB2A10cf7a0B0efe0CE,2026-04-22 14:11:14 UTC,455183864
36,0xe3b6971f5f4dc6588738e2b31f76a97ba982b5f70fc3003603a7356906ed7116,0xCF5B37944C0132ba4dBCdD59EBF33BcD8a590Fba,2026-04-22 14:14:16 UTC,455184588
37,0xae22ac2ab26c513db913fdfd7133008c0d57641d41614dc6e331fa0b26163b62,0x968b1238000aa9C7386Ad83B50cc26691aFDA1FD,2026-04-22 14:15:18 UTC,455184845
38,0xb6d591bc741c35ec5eedc7faf9fd2387eccb1e888650790311e59d9e4676d2df,0x8E63178780eA773C43822bf8DA2238ae6869ACaB,2026-04-22 14:22:20 UTC,455186534
39,0x245bc023182612b425af47523a1940d1dd6e2ade048eeb269119ab71a4551483,0x1a21e66E340ED97452C1cF901E6095412d3aAbde,2026-04-22 14:33:03 UTC,455189107
40,0xecd012682419e27ee62c4b1361c79cb975ef4ed26a998758588db11a19781af2,0x2123DE91E145ccd7086160B489CEb6E73C80e9fB,2026-04-22 14:35:52 UTC,455189783
41,0x1d553eefb500e57da28ad7a99fbb97f7e06ac2d3739b915c9ca4c784220b9ed8,0x91D608115e115A77511036C51115D75C547ebEE3,2026-04-22 14:36:21 UTC,455189899
42,0x57280d7469c4bc6d46e64a9796c84c15cabf24510da8291438b712fbf318f45d,0x61759FB5255532F8f977d0a51B7037651bECac74,2026-04-22 14:50:27 UTC,455193291
43,0x685deb4dbdfb135989c8dd6192f8e206f9ed12f5db436fedb2c709b9be7b20ce,0x0A4B2Dd1A9b45236B875c70F7d5407FFe789B684,2026-04-22 14:54:04 UTC,455194160
44,0x33451179458415ca6818dd96ed06bde6101b90fd2872be1f9fc275d2a2c5f3c9,0x094bB6D9cC7ccAE855Cc508A0a7Fc14f5911FED8,2026-04-22 15:24:51 UTC,455201553
45,0xb61a12d121d2b83426f133207b46a0745650185c81df3774cf6a9e1bcd8c1af0,0x32173890fA8E2a639b661ADdcA6d90CdB51eA3a7,2026-04-22 15:24:58 UTC,455201579
46,0x2c7009c420d304c0e7b2a0546fa751e3181f712986c06a6e33397984b89db491,0x2851586f2179C6fd581BF3233bA8Af549094Ab34,2026-04-22 15:26:06 UTC,455201855
47,0x7876c29ac20fca4ccda6adca5a9871a967970e220ddd953e18f0b6b485e8ed10,0x8ACA254a8f0Cae92980DD3D27a3A5037D971eeC2,2026-04-22 15:35:29 UTC,455204110
48,0x104dd58d1fdc6c9fef14ffe760b6fa46fa9dd6786bf4537b389141d2859d9c22,0xF1E17fa4A403a6F00b87A017f904754B65A66685,2026-04-22 15:41:44 UTC,455205616
49,0xc1630f3f943602635fe88b2b4cdf918802e3a3b3f1af245ebeaabb4256d83d69,0xfa730DCcbE44CF5f0E89F055D175bd28fBEb3943,2026-04-22 16:40:18 UTC,455219701
50,0xfde54639a8c780c22cd1bbb6c52eb6a144133e12ea0914c46bbefeccbd605f74,0x083b523D7d877A55FAd9aB697792875C964bfB3a,2026-04-22 17:35:58 UTC,455233086
51,0xbb39f87202f19ec151030fccea788678bcfb5ba36062a1dd74031605899c4878,0x6d5cc11dc26F198A66E6408E00D19dfe9c6664C0,2026-04-22 18:04:15 UTC,455239874
52,0xd4568a170f64445057761727660de72e5972bb19f313a351ff0500bd5eb94222,0x935E21186a62fa0940b688606f5298E383ea226C,2026-04-22 18:13:53 UTC,455242185
53,0x2806828dc590ded382e577bbe6773d81d15de08326df1a7baf1bb8ec02796323,0x6F7420FcE43b08a475E2DdcD72D21206894B6D31,2026-04-22 18:26:04 UTC,455245111
54,0x7662832f2b90dded365c547b17036a870f5fc8806feabb57824c2bb8b79f318a,0x56AEfe905ff159Ae4f192CBb1033Cb1a9B0556d0,2026-04-22 18:32:33 UTC,455246672
55,0x6d873aac9d968519408b43f0f18d95f39d7d15a123b33513d2c26988417ebb0c,0x108965BCb91ce58679F8B9FE61eEd4121C39b643,2026-04-22 19:09:00 UTC,455255420
56,0x54d71eca7e3d0e288f74a8b7d071013b7c8703260c4a4e7e4df0e28a04606cac,0x42CA29076b3deeB67740150694e646036AeBf600,2026-04-22 20:22:41 UTC,455273121
57,0x0f5254d1a5608ed4c26b3cabf261b3bb7d6e52e054b1d95b127a667e0f55c0d8,0x8C021677379f2d67bb568F10d8F538cBF721c899,2026-04-22 21:37:17 UTC,455291030
58,0x939c353e8c3c6f354d3d4284cae9e80d6e9da0fd6a942c3bc553bdb4d4abcadf,0x0feae3dd63E2286c4Eb5dCB72041c099Ddd45ACD,2026-04-22 21:43:42 UTC,455292570
59,0xc53a309f0aecc6f5ee28ae04a1c17ab88e7de2560b389956f1c2cac0f24e9ea0,0xB813a4F3ffF374FbC68e595e81c99437EA69d24d,2026-04-22 22:30:03 UTC,455303696
60,0x51bc086f6e886acbdf617370ff54f0cdd4b13cdb80c47518b66263dd7c1c687f,0x8c51688d20ea6615451E5F5E37a459366dffc284,2026-04-22 23:07:38 UTC,455312712
61,0x7ad0e2914d4968aa5ce86e16bf57b118ee59535c012b35d58265141a9807cb8c,0xB629b3497247CA7B77035199F1710Be81128605A,2026-04-22 23:25:01 UTC,455316881
62,0x03e79637b171f59ed289873b6e173558cebfdb947670f42b00b2fc7d49ac5901,0x38639aE811E99A119182C2E6B5D35aad67D0dDE7,2026-04-22 23:32:54 UTC,455318778
