#,tx_hash,wallet,checkin_time_utc,block
1,0x24c6bf7bc6e36727ead1566b243efa958c054bd32c851f80dc0d2259b0ed3167,0x0400A2f8C8D62B9bb74FDeb3196aC86ed9507762,2026-05-31 19:08:52 UTC,468678882
2,0xdf8a2383317c94bf5f91d1400b032573084491676e210eb8c86157487e57c53d,0xBeD5218756bbD0ebdE5256332a458f241B74C29E,2026-05-31 19:12:38 UTC,468679773
3,0xe576aad8e33fe7038eaf942e4b1985d6f06dd5a1818e43a480edbbdf0210b34b,0x3F938ecde4f82Be1FB6eb02636CeCa88CCef014f,2026-05-31 19:14:01 UTC,468680097
4,0xc0ffb83cef80373446bd597e09a2cc0694e57fefebe3748179dbd2847ac1240d,0xB7eA94F09f680eb246d3cfcF47D9b4b8acdf23bE,2026-05-31 19:24:06 UTC,468682495
5,0x28e4028e5abee6acca23f944bdd91ceea0cecea19cb0f6edb8749f0d507279fe,0xE820f59454f77f46C085ebFc0ce6ACD5bb7EF46B,2026-05-31 19:27:08 UTC,468683212
6,0x9cc55ab8413bf24bb45062c12e8c50d5c51b339def4290cd77bf12dcec991bd4,0x75f119589D1ed65EffE909EE910a8200F04797d3,2026-05-31 19:30:34 UTC,468684037
7,0x118f68542b62d2e459e93c7a4986989a4e9c89de20957adf429bf27fd9cefd63,0x91D608115e115A77511036C51115D75C547ebEE3,2026-05-31 19:36:50 UTC,468685522
8,0x74bab324c026274d0d284396a702708fa4caa9ed7e7879e2c8849633b8cf2a95,0x6ca40A6b8798F3f021F745ABE20E218Ea67153fd,2026-05-31 19:39:58 UTC,468686261
9,0xd735cd0154c14db4b9025418bf9f2a5cac92306373b73316cf5f42d3cf3c8859,0xFB1268F135f0b50Aef5Ef8c34C18E8683B80a0ef,2026-05-31 21:41:31 UTC,468715215
10,0xddd6a2cd2a65db2e70cc48758b9b2a5ad2718dc9d6c60e5be36b19a0edeff71e,0xAAAD45ab9Daf26258071bf8B3338dFFA524E2b83,2026-05-31 22:07:54 UTC,468721514
11,0x796e9bc33744d4889941afa6e7a4542b6f4fc51d4895172f51b88ee6317c453c,0xb96E9F8bD3B161d6F6Dd7bC77eD17D977A6c61A7,2026-05-31 22:40:04 UTC,468729206
12,0xcd574144bf46e631d74664cceb847c1711959fa7840a5a0686d4398ca072f432,0xF9574026E2Fcd0Ae3ee283FdaA67D3a219ef5491,2026-05-31 23:52:21 UTC,468746352
13,0xc12f67d087ec74eec3e10022d257a26cef3f455e12aced1f8408097f78ec7666,0x3e6b13f7C3d9190F54E24B1CB16f08b16e9A52Fb,2026-05-31 23:56:06 UTC,468747237
14,0x6abdb7f29067d3ba823c97f385546ecd80e9f04d6c63d7c83c7fb051487d5709,0x2a5AE1B1b7965Fa5e5DD63B1A67E1c5fb4d37A15,2026-06-01 02:47:06 UTC,468788161
15,0x4eed2731c519ab7f5af662e480fa457fe9f3bfd7f8a388c06d24986bab07fcdb,0xB97F5AD0707734980Cf08223E00e3cC1dD5B29Df,2026-06-01 03:10:59 UTC,468793882
16,0xd912e6d916f2094b293517cf61655000fbf1c4a2c2821e504a7541f0cb0024e2,0xA322F2977eF7B03F23f3cbA4d7F543C6b059783A,2026-06-01 04:44:45 UTC,468816176
17,0xd87bb06bfdf0a2cdea40fab7c19ab9dcc7ebb0c41ff5898e07038c3a19efd51b,0x9E0bC5188478C7DC77D86CAB0e85fd48c62B9fc3,2026-06-01 07:48:47 UTC,468860161
18,0xd1299b0ee99868b9427e0cdd8b8d9032ba88a3d035a094886952e53512c3cd33,0xCC5f4Ef239cac3A6440f8bF490a29598Fa0dFD63,2026-06-01 15:06:13 UTC,468965149
19,0xe8b77ca24e71f5ed32f10dc44a54e63f9223c309cde45a12a170f39640f3dad4,0xFfAFF1ED3cFAAF03aE265a11187F2E0852459baB,2026-06-01 16:40:30 UTC,468987853
20,0xa4c8de4c93c8a143fe8c58681b904a22170ebafc856c4aa97bc8757dd0970120,0x97F624ee961e4dfbf107997072aDC596c83d8e39,2026-06-01 18:12:49 UTC,469010025
21,0x229989bc5604dcb2623b914653cbb03b3b079910da07b42f4572ae6ca0f0d863,0x32173890fA8E2a639b661ADdcA6d90CdB51eA3a7,2026-06-01 19:41:20 UTC,469031221
22,0x789e08c551491ab7ca05f1f99ceff18f2566f77e5a03395721739d0eaa7194ce,0xC5f0e9F9a380eEa00b1809EB0546cEa136c57D7B,2026-06-01 20:21:17 UTC,469040754
23,0xc521df9913c7c055de177cdfb0c6497bebd069a8d2f887a4fc32b240edb49507,0x0Df6Cd06057Dd3dC3130Ce37Af0FBD95617E5686,2026-06-01 21:19:59 UTC,469054790
24,0x31acc02154e286b8f5b340595aa51400cdad1c5f30b8ec7f8cea818ed612d85b,0xFE46C232Be0405dCC544029556ff24956eF55478,2026-06-01 21:39:23 UTC,469059420
25,0x55e863f039fb54e6b77d6a59a908ead63621baf6802dc9236bfb1aa1d7c08238,0xB629b3497247CA7B77035199F1710Be81128605A,2026-06-01 23:46:21 UTC,469089751
26,0x936d137b3632c1751378e5a5650ac42f373c73530476b6afe145656799cecaf9,0x666D254B723cE08978EFA1715978767E23Df6126,2026-06-02 01:19:13 UTC,469111928
27,0x5687b5ddad6e9fe10c466697790f90cde3bc8773ee521df7b6fde5b368063b77,0x3473Ff346c78F5EB9Dc61b015B328d8Dabd3b073,2026-06-05 08:53:46 UTC,470258286
28,0x43c11b304bd4e39df365da350b648c10244eeedd99deefa703295af823a2838d,0xAbcBc717cfaAaCCA0B77Fd20A7A7638AB5885Cb5,2026-06-05 11:22:35 UTC,470294069
29,0x4c98acb05e83c2f045f0491aad667899678dd5238709352ad1b25945b38a96e4,0x8af6b5Af7015a33792d4755d9a1AfFc0b6Adb79F,2026-06-05 12:11:56 UTC,470305932
30,0x63b871742738b65987ccfb81630ba18e2f2c06e6b125ffb065306ab668e5e7ec,0x85356F78EbF95448750c0986b7D75CCEde63053D,2026-06-05 12:13:02 UTC,470306196
31,0xbdc3f23bb927a48807ebfa45cf1835cf6cb0c2545aec14167b93b10510792e9b,0xD2d7E2118859B61d308dF01Acb267cCBAa176f97,2026-06-05 12:24:50 UTC,470309039
32,0x4648f61439e97a13a43a60735274671bdb053429d3fd51f4138c26b22d2e1bc0,0xfD0F26Ac22Cc5bcd302C3c1140f15d37699097b6,2026-06-05 12:27:04 UTC,470309582
33,0xa26208d60667ef252e11fd091e1487d28d52cf08513dc7f78f394ffb94fc7d38,0xDe87457C1F31c25379932934b04E8758f633af50,2026-06-05 12:34:37 UTC,470311395
34,0x76fe1082d88ae019561ba9cf793f8a5dc14e788dd0568269dc8c2922189eab9e,0x2AfbD6B4284B274B58f0f5320FCBb4e731C32FB8,2026-06-05 12:43:35 UTC,470313553
